"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2022","352.90","352.90","352.90","352.90","","1.70%"
"06/23/2022","347.00","347.00","347.00","347.00","","0.58%"
"06/22/2022","345.00","345.00","345.00","345.00","","-0.14%"
"06/21/2022","345.50","345.50","345.50","345.50","","2.98%"
"06/17/2022","335.50","335.50","335.50","335.50","","1.25%"
"06/16/2022","331.35","331.35","331.35","331.35","","1.02%"
"06/15/2022","328.00","328.00","328.00","328.00","","1.23%"
"06/14/2022","324.00","324.00","324.00","324.00","","2.05%"
"06/13/2022","317.50","317.50","317.50","317.50","","0.00%"
"06/10/2022","317.50","317.50","317.50","317.50","","-1.29%"
"06/09/2022","321.65","321.65","321.65","321.65","","-0.88%"
"06/08/2022","324.50","324.50","324.50","324.50","","-0.54%"
"06/07/2022","326.25","326.25","326.25","326.25","","-1.14%"
"06/06/2022","330.00","330.00","330.00","330.00","","2.01%"
"06/03/2022","323.50","323.50","323.50","323.50","","0.00%"
"06/02/2022","323.50","323.50","323.50","323.50","","0.00%"
"06/01/2022","323.50","323.50","323.50","323.50","0.01K","-1.48%"
"05/31/2022","328.35","328.35","328.35","328.35","","0.06%"
"05/27/2022","328.15","328.15","328.15","328.15","","-0.71%"
"05/26/2022","330.50","330.50","330.50","330.50","","0.15%"
"05/25/2022","330.00","330.00","330.00","330.00","","-0.30%"
"05/24/2022","331.00","331.00","331.00","331.00","","-0.23%"
"05/23/2022","331.75","331.75","331.75","331.75","","-0.97%"
"05/20/2022","335.00","335.00","335.00","335.00","0.01K","0.90%"
"05/19/2022","332.00","332.00","332.00","332.00","","0.91%"
"05/18/2022","329.00","329.00","329.00","329.00","","-0.15%"
"05/17/2022","329.50","329.50","329.50","329.50","","1.34%"
"05/16/2022","325.15","325.15","325.15","325.15","","2.14%"
"05/13/2022","318.35","318.35","318.35","318.35","","-2.15%"
"05/12/2022","325.35","325.35","325.35","325.35","","2.15%"
"05/11/2022","318.50","318.50","318.50","318.50","0.01K","1.76%"
"05/10/2022","313.00","313.00","313.00","313.00","","0.69%"
"05/09/2022","310.85","310.85","310.85","310.85","0.01K","-2.55%"
"05/06/2022","319.00","319.00","319.00","319.00","0.04K","-0.31%"
"05/05/2022","320.00","320.00","320.00","320.00","","2.68%"
"05/04/2022","311.65","311.65","311.65","311.65","0.02K","10.12%"
"05/03/2022","283.00","283.00","283.00","283.00","","9.20%"
"05/02/2022","259.15","259.15","259.15","259.15","","-18.83%"
"04/29/2022","319.25","319.25","319.25","319.25","0.02K","-1.05%"
"04/28/2022","322.65","322.65","322.65","322.65","","-0.52%"
