,$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P0,$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P1,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P0,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P1,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P0,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P1,"$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P0","$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P1","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P1",$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|\emptyset)$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|\emptyset)$_P1,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|D_{t-1})$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|D_{t-1})$_P1,"$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1}, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1}, D_{t-1})\rightarrow D_t|\emptyset)$_P1"
78,-50.47214579023421,,-99.06340460013598,,-45.952047974671586,,-98.89858017116785,,-80.23290410544723,,-93.21085622499231,43.062957194051705,-92.94544089201372,43.33100202435162,-95.1119068050757,42.25579069904052
79,-49.989838789232635,,-99.1266565718688,,-45.12103743158514,,-98.98479437828064,,-60.20183582906611,,-101.29926249699201,51.69935321062803,-100.8060572752729,51.39435752679128,-96.0712427594699,53.05177013692446
80,-50.12557364492568,,-122.01614675950259,,-46.05005783278466,,-121.30798536911607,,-56.94123158289585,,-110.35291977855377,60.68710428010672,-112.22155226836912,60.911671330803074,-115.98150004877243,60.6130462368601
81,-49.85834692924527,,-95.91034444933757,,-45.466892095711955,,-96.08881425857544,,-78.060203285655,,-92.85493515699636,43.31351218849886,-92.7480986075243,43.618571671657264,-96.18776309164241,42.00653263251297
82,-51.34421459001169,,-98.04966984828934,,-46.90729783222196,,-97.49361948668957,,-83.67537376703694,,-93.11437019542791,42.09570724598598,-92.91910432069562,42.36253610160202,-95.28209204017185,41.05725699895993
83,-50.53111208973496,,-102.35357869323343,,-45.74163626210793,,-103.07486664131284,,-63.2635279414244,,-104.17662050679792,54.03820100822486,-104.12293897708878,53.81347482057754,-101.98548033332918,54.63663099205587
84,-50.70214838677657,,-107.4449767479673,,-45.86622323112533,,-107.62846666574478,,-57.184277817141265,,-106.44283160369378,56.18406801891979,-106.44206970091909,55.82888141658623,-102.82833653269336,56.78669071174227
85,-50.716608348550835,,-107.23069184273481,,-45.65272988752258,,-107.15723794698715,,-73.2590793663403,,-102.38940887525678,52.05647292174399,-102.70671721617691,52.589595053344965,-110.43520971294492,50.596304771257564
86,-50.204347253458764,,-99.21006948268041,,-45.857900149065244,,-99.2657555937767,,-74.40568902832456,,-92.50523397931829,42.6028051917674,-92.30538798053749,42.82702251931187,-93.62407002551481,42.08404988265829
87,-50.52690102984616,,-103.06922055222094,,-45.6372128549192,,-102.91132128238678,,-64.01408657629509,,-101.87024452723563,51.738128401339054,-101.53943971917033,51.55584068398457,-98.74383595003746,52.63828535436187
88,-50.68008577975888,,-105.37915907660499,,-46.53730277855357,,-104.6277629584074,,-65.69263388833497,,-100.41014888999052,50.101622075540945,-100.81745919934474,49.957818924216554,-99.96213740541134,50.19202527991729
89,-50.061891973542515,,-110.73516703629866,,-45.01231350888702,,-110.46084651350975,,-74.20533061074093,,-99.57486979197711,49.89701924379915,-99.9174184880685,50.681913714041,-111.18149520247243,48.0760854750406
